numMC,PL,callday
453,0.000215617,1097
454,-0.00513342,366
455,0.00234494,185
456,-0.000141637,185
457,-0.0019964,185
458,-0.0163053,1097
459,-0.00328965,366
460,0.00412863,550
461,-0.00142629,185
462,-0.00520006,366
463,-0.00311378,185
464,-0.008371,1097
465,-0.00112141,185
466,0.000420326,1097
467,0.00439297,550
468,-0.00558446,185
469,0.00383789,185
470,-0.00110979,185
471,0.00117082,550
472,0.0032366,185
473,0.00452639,185
474,0.000811466,550
475,-0.00121927,185
476,-0.00235335,185
477,-0.00850149,1097
478,0.0024932,185
479,-0.000349344,185
480,0.00134296,185
481,0.00238365,185
482,-0.0123401,732
483,-0.00698041,1097
484,-0.000616559,185
485,-0.00112525,185
486,-0.000344771,185
487,-0.00207464,185
488,-0.00366317,916
489,-0.00194518,185
490,0.00225032,185
491,0.00078298,185
492,0.00183123,185
493,-0.00342537,185
494,0.000665584,185
495,0.00109332,185
496,-0.00300724,185
497,-0.00645309,185
498,0.00142284,185
499,-0.00264571,185
500,-0.00667779,185
501,-0.000104312,1097
502,0.00807917,185
503,-0.00159958,185
504,-0.00848729,550
505,-0.0216998,1097
506,-0.00599135,185
507,0.0155716,366
508,0.000675953,185
509,-0.00188469,185
510,0.00116133,185
511,-0.00361312,366
512,-0.000301843,185
513,-0.00622898,185
514,-0.00201877,185
515,-0.000934193,185
516,-0.00138829,185
517,0.0010876,185
518,-0.00316595,185
519,-0.00098943,185
520,0.0259353,1097
521,0.00969849,1097
522,0.00692144,550
523,0.000788659,185
524,0.000212943,185
525,0.00209352,185
526,0.000808041,185
527,0.00087768,1097
528,0.0168203,1097
529,0.000464477,185
530,-0.00721683,366
531,-0.00502428,550
532,-0.000734995,916
533,-0.0307492,1097
534,0.00316277,185
535,-0.00112648,732
536,-0.000292278,185
537,-0.000337866,185
538,-0.00787261,366
539,-0.00100283,185
540,0.000537233,185
541,-0.00198079,185
542,-0.00808898,366
543,0.00165624,185
544,0.00011064,185
545,-0.0473316,1097
546,0.00514473,366
547,0.000116977,185
548,0.0110128,1097
549,-0.000868758,185
550,0.00128079,185
551,-0.00268483,185
552,0.00264026,185
553,-0.000668869,185
554,-0.0083549,185
555,-0.00107344,185
556,-0.0115724,1097
557,-0.0101325,550
558,0.00423943,550
559,0.0232824,1097
560,0.00751741,1097
561,0.00217308,916
562,-0.00114484,185
563,-0.00347131,916
564,-0.00259093,1097
565,0.000651923,185
566,-0.0234859,1097
567,-0.000122915,366
568,-0.00245567,1097
569,-0.00182058,185
570,-0.000890003,185
571,-0.0158432,550
572,0.00176008,185
573,-0.00135639,550
574,0.00217756,185
575,-0.000886909,185
576,0.00230181,185
577,0.00396681,185
578,-0.00509862,1097
579,-0.0098211,185
580,-0.00346758,185
581,-0.00333307,550
582,-0.0117779,185
583,-0.00642442,550
584,-1.66559e-06,185
585,-0.00121324,185
586,-0.0181251,1097
587,0.000885512,185
588,-0.00161089,185
589,-0.0138182,1097
590,-0.00302552,185
591,0.00110658,185
592,-0.00134044,185
593,0.00228004,185
594,-0.0155833,185
595,0.000548636,366
596,-0.00454645,1097
597,-0.000485705,185
598,0.00123359,185
599,-0.00119695,185
600,0.000335723,185
601,-0.00242389,185
602,0.00405957,366
603,0.00130437,185
604,-0.00836745,916
605,0.00100897,366
606,-0.00220748,185
607,0.00060545,185
608,9.33529e-05,185
609,-0.0038929,185
610,0.00875325,366
611,-0.00241152,366
612,-0.00115065,185
613,0.000405073,185
614,0.00221493,185
615,0.000734535,185
616,-0.00123731,185
617,0.0125435,916
618,0.00189397,185
619,-0.00138667,185
620,0.0203529,916
621,-0.00368634,732
622,-0.00622312,185
623,-0.000508061,185
624,-0.0049536,185
625,0.00251156,366
626,0.0040565,185
627,-0.00355007,185
628,-0.0111768,1097
629,0.00169463,185
630,0.00194706,185
631,0.00160186,185
632,-0.00254794,185
633,0.000451896,185
634,-0.000520016,185
635,0.0114159,916
636,-0.00384973,366
637,-0.00156887,185
638,-0.00202791,185
639,-0.000934255,550
640,0.00169972,185
641,-0.000551474,550
642,0.000104394,185
643,0.000482119,185
644,-0.000872524,185
645,-0.00074336,185
646,0.000583364,185
647,-0.00211451,185
648,-0.00311697,185
649,-0.00128502,185
650,-0.00143806,185
651,0.00354209,185
652,0.000508309,185
653,0.00114418,366
654,-0.00992878,185
655,0.00336344,185
656,-0.000603396,185
657,0.00283603,366
658,-0.00116591,185
659,-0.000127602,185
660,-0.00586155,366
661,0.00489663,185
662,0.00295361,185
663,-0.00160621,185
664,-0.00731573,366
665,0.00554654,366
666,0.00108847,185
667,-0.0054654,366
668,-9.12664e-05,185
669,-0.000260825,185
670,-0.00121628,185
671,-0.000428998,185
672,-0.00816561,366
673,-0.000921162,185
674,0.00483676,185
675,-0.00472203,185
676,0.0014722,366
677,0.00313829,732
678,-0.00155099,185
679,0.00150508,185
680,7.16802e-05,185
681,-0.00493468,185
682,1.95775e-05,366
683,0.00162414,185
684,-0.000197971,185
685,0.00162578,185
686,-0.00172726,185
687,-0.00114196,185
688,0.00611114,185
689,0.00343382,185
690,-0.000443295,185
691,-0.00177073,185
692,-0.00138724,732
693,-0.00284743,550
694,-0.0021698,185
695,-0.00544276,185
696,-0.000374474,185
697,0.000872625,550
698,-8.34761e-05,185
699,0.00113655,185
700,0.000366211,366
701,0.000305558,185
702,0.00166323,185
703,-0.0117328,550
704,-0.00577669,185
705,0.000129777,185
706,-0.000218165,185
707,-0.00887277,185
708,-0.00160203,185
709,0.00678699,550
710,-0.00638884,1097
711,0.00101641,185
712,-0.00189458,550
713,-0.00136459,185
714,-0.000615535,366
715,0.00279494,916
716,-0.000295852,185
717,0.00061794,185
718,-0.00100762,185
719,0.00569238,185
720,0.000256319,366
721,0.00190923,550
722,0.00122965,185
723,-0.00185256,185
724,0.000118613,185
725,-0.00628541,732
726,-0.00370698,185
727,0.00546285,185
728,-0.000847926,185
729,-0.0272812,1097
730,-0.00317244,185
731,-0.000553927,185
732,0.00473343,185
733,0.00491854,1097
734,-0.00302577,1097
735,0.0019947,185
736,-0.00579799,550
737,-0.00965775,185
738,-0.000472736,185
739,0.000852654,185
740,0.00182781,185
741,0.00380765,366
742,0.00385227,185
743,0.000597836,1097
744,0.0249881,1097
745,0.0133117,1097
746,0.00191835,185
747,0.00067211,185
748,0.00414948,185
749,0.000387402,366
750,0.00349465,185
751,-0.000579057,185
752,-0.000281444,185
753,-0.00345436,185
754,-0.000272042,185
755,0.00414863,185
756,0.000621131,185
757,0.00122906,185
758,0.000991843,185
759,0.0153585,1097
760,0.000395803,185
761,-0.00102937,185
762,-0.00200444,185
763,-0.00583123,185
764,-0.00204364,185
765,0.000239908,185
766,0.00105454,185
767,0.00228702,185
768,0.00167315,185
769,-0.000455111,185
770,0.00048355,185
771,0.000161692,185
772,0.00480909,185
773,-0.00156892,185
774,-0.00548982,185
775,0.000435173,185
776,-0.00167157,185
777,-0.00328492,185
778,-0.000294859,185
779,-0.00379299,185
780,0.0016347,185
781,0.00433317,732
782,-0.00015728,185
783,0.000236811,185
784,0.000666305,185
785,-0.00856705,550
786,0.00154681,185
787,0.00136883,185
788,-0.00285352,185
789,0.00082498,185
790,0.00677467,185
791,-0.000689181,185
792,-8.95387e-05,185
793,0.00456661,185
794,0.00412604,185
795,0.00138401,550
796,0.00119948,185
797,-0.00152765,185
798,-0.00403546,366
799,0.00115192,185
800,-0.00143867,550
801,-0.00494268,185
802,-0.000688098,185
803,0.0044699,185
804,-0.0144941,185
805,0.000702728,366
806,-0.00448945,732
807,-0.00312143,185
808,-0.0226118,1097
809,-0.00178021,185
810,-0.000193805,185
811,-0.00349873,185
812,-0.00224867,185
813,0.00209811,185
814,-0.018079,1097
815,-0.0527271,1097
816,0.00310508,185
817,0.000818576,185
818,-0.00230835,366
819,0.00127479,185
820,-0.0226988,1097
821,-0.000245607,185
822,-0.0315713,1097
823,0.000496604,185
824,-0.0033545,185
825,-0.0123496,185
826,0.00162951,185
827,-0.00137289,185
828,0.000290456,185
829,0.00146733,185
830,0.0149973,916
831,-0.00318192,185
832,0.000506782,185
833,0.00111483,185
834,0.00217939,185
835,0.00335889,185
836,6.82486e-05,185
837,0.0020633,185
838,0.000993254,185
839,-0.000457002,185
840,-0.0162482,185
841,-0.000284975,550
842,0.00327856,732
843,-0.0101104,550
844,-0.0026688,185
845,0.000939624,185
846,0.000379986,185
847,-0.00119384,185
848,0.00101637,185
849,-0.00280983,185
850,-0.00077698,366
851,0.00271934,185
852,0.00151317,185
853,0.00389007,185
854,-0.00219744,185
855,-0.005077,185
856,-0.00418273,366
857,-0.02231,916
858,-0.00314945,366
859,-0.000207992,185
860,0.000309032,185
861,-0.00380491,185
862,0.00194321,185
863,0.000823891,185
864,0.0228533,366
865,0.00223182,185
866,0.00093892,185
867,0.00111774,185
868,0.000227466,185
869,8.44887e-05,185
870,0.00149276,1097
871,-0.00188109,366
872,0.000687543,185
873,-0.0037695,185
874,-0.00358409,185
875,-0.00426882,1097
876,0.00438333,550
877,-0.00597064,185
878,-0.00177885,366
879,-0.00181406,185
880,0.00654247,185
881,-0.0123144,185
882,-0.000663211,185
883,-0.00125577,185
884,0.000468802,185
885,0.00258878,185
886,-0.00520403,185
887,0.000921991,185
888,-0.00535528,185
889,0.00101302,185
890,0.00524334,1097
891,-0.0183332,185
892,-0.00104612,185
893,-0.00504634,550
894,0.00311526,185
895,0.00124521,185
896,-0.00118608,185
897,0.00298728,185
898,-0.0128716,185
899,-0.000229024,185
900,0.00388895,366
901,0.000284385,185
902,0.00477501,732
903,-0.00268114,1097
904,0.00236058,185
905,0.00264128,185
906,0.00315078,185
907,0.000499998,732
908,-0.000544421,185
909,-0.00130194,185
910,0.00298398,366
911,-0.00185343,185
912,-0.008738,1097
913,-0.00782491,550
914,0.0011101,185
915,0.000586002,185
916,-0.0106453,916
917,-0.000765265,185
918,0.0134608,916
919,-0.00356864,185
920,0.00593609,185
921,0.00702116,550
922,-0.00450933,185
923,0.00437621,185
924,0.00228379,185
925,-0.000953527,185
926,-0.00918792,550
927,-0.026987,1097
928,-0.00224291,185
929,0.00339551,185
930,-0.00115813,185
931,0.00307297,185
932,0.000732917,185
933,0.00268377,185
934,-0.000358164,185
935,0.000936927,185
936,0.0003427,185
937,-0.000160801,185
938,-0.00345919,366
939,0.00589223,366
940,0.0012604,185
941,-0.00499228,185
942,-0.00439194,916
943,-0.00130165,185
944,0.000561256,185
945,-0.00230299,550
946,0.000904953,185
947,-0.000616991,185
948,-0.000916882,185
949,-0.0047111,366
950,0.00151463,185
951,-0.000792733,185
952,-0.00474991,185
953,-0.00226796,366
954,-0.000357143,185
955,-0.00452028,366
956,-0.0813138,1097
957,0.00334266,185
958,-0.00330853,185
959,-0.00197449,550
960,-0.000261284,185
961,0.0075927,185
962,-0.0167985,1097
963,0.0108349,732
964,0.00146199,185
965,0.00328948,1097
966,-0.00411438,185
967,-0.00838606,1097
968,-0.00241147,366
969,0.00128709,185
970,0.00439521,185
971,0.00500709,1097
972,-0.00231339,366
973,-0.0314663,1097
974,0.000187264,185
975,-6.4299e-05,185
976,0.00210445,185
977,-0.0100232,550
978,-0.00538443,550
979,-0.00190176,185
980,0.00608429,185
981,-0.00500632,185
982,-0.0027302,185
983,0.0142921,185
984,-0.00115634,185
985,-0.0140982,1097
986,-0.000103296,185
987,-0.0183402,1097
988,-0.00149592,185
989,-0.000796399,185
990,-0.00823451,732
991,0.00321443,185
992,0.000293825,185
993,0.01936,916
994,0.00270064,185
995,0.00902961,1097
996,0.000964492,185
997,-0.0182536,185
998,0.00255247,185
999,0.000618191,185
1000,0.00312352,185
1001,0.000772654,185
1002,0.00241522,185
1003,-0.00686916,916
1004,0.00100239,916
1005,-0.00141037,185
1006,-0.000512099,185
1007,0.000132862,185
1008,-0.0101468,366
1009,-0.0169958,1097
1010,-0.00722471,732
1011,-0.0014694,185
1012,-0.0012059,185
1013,-0.0310666,1097
1014,-0.00327969,185
1015,-0.00127839,185
1016,0.00633605,185
1017,0.00220004,185
1018,0.00481611,185
1019,0.00158043,185
1020,-0.0122759,366
1021,-0.00206921,366
1022,0.00816769,1097
1023,0.000755651,550
1024,0.0048246,185
1025,0.00352897,185
1026,-0.00174098,366
1027,-5.21874e-05,185
1028,0.000723411,185
1029,-0.00217658,185
1030,-0.00130382,185
1031,-0.00171844,366
1032,0.00346911,185
1033,-0.00142533,185
1034,-0.00566247,366
1035,-0.00297649,185
1036,0.00025951,185
1037,0.00344793,1097
1038,0.0295359,1097
1039,0.000573373,185
1040,0.00244364,185
1041,0.0125841,732
1042,0.00288248,366
1043,-0.0037176,185
1044,-0.0016637,1097
1045,-0.00688317,185
1046,0.0185737,1097
1047,0.000711513,185
1048,-0.000604346,185
1049,-0.000916247,185
1050,-0.00776899,185
1051,0.00876104,185
1052,0.000888598,185
1053,-0.0079987,732
1054,0.000155094,185
1055,0.00690593,366
1056,-0.00181335,185
1057,-0.000119601,185
1058,-6.38061e-05,185
1059,-0.00636538,1097
1060,-0.0121157,1097
1061,-0.00973715,1097
1062,0.00559445,185
1063,-0.00152768,185
1064,0.00322843,185
1065,-0.00174893,366
1066,0.000223229,185
1067,-0.00181882,185
1068,-0.00223519,185
1069,0.00148284,185
1070,-0.0023812,732
1071,-0.00479214,1097
1072,-0.000195921,185
1073,-0.00625313,185
1074,-0.00355777,185
1075,0.000378808,185
1076,-0.00168229,185
1077,0.00122601,916
1078,0.00213004,185
1079,-0.00148829,185
1080,0.00176327,1097
1081,-0.000873189,185
1082,-0.000282165,185
1083,-0.00121654,185
1084,-0.00126529,366
1085,0.00166337,185
1086,-0.0021245,550
1087,-0.00136838,185
1088,-0.0268807,1097
1089,-0.00159452,185
1090,-0.000183197,185
1091,-0.010169,550
1092,0.00148811,550
1093,-0.000293449,185
1094,-0.00130155,185
1095,-0.00306276,185
1096,0.000183624,185
1097,0.00168808,185
1098,-0.00190447,185
1099,0.000614425,366
1100,-0.00378262,185
1101,0.0015877,185
1102,-0.00259539,185
1103,-0.00046868,185
1104,0.00743921,366
1105,-0.00145065,185
1106,-0.00951013,1097
1107,-0.00090866,185
1108,-0.00365976,185
1109,-0.0133534,185
1110,0.000135085,185
1111,0.00168901,185
1112,-0.0019422,550
1113,0.00633688,185
1114,0.00434056,185
1115,-0.00162762,185
1116,-0.00261865,185
1117,0.000750348,185
1118,-0.0137552,366
1119,-0.00482436,185
1120,0.00778343,550
1121,-0.0012229,185
1122,0.00171602,185
1123,0.00101381,185
1124,0.00622783,185
1125,-0.00172005,185
1126,-0.0103629,550
1127,-0.0213791,916
1128,0.00345328,185
1129,-0.00133759,185
1130,0.00137864,185
1131,-0.0108795,185
1132,-0.00193937,366
1133,-0.00074574,185
1134,-0.00160203,185
1135,-0.000642482,185
1136,-0.00464308,185
1137,0.00321576,366
1138,-9.04634e-05,185
1139,-0.0128936,366
1140,-0.0108136,366
1141,-0.00172295,185
1142,-0.00123651,185
1143,0.000302499,185
1144,0.00537239,366
1145,-0.00161292,185
1146,-0.000870589,185
1147,0.0029708,185
1148,-0.000433612,185
1149,-0.000783596,185
1150,0.00400389,550
1151,-0.0064603,1097
1152,-0.000371381,185
1153,-0.0272529,1097
1154,0.00193084,185
1155,-0.0020821,185
1156,0.000487068,185
1157,0.00132099,185
1158,-0.00183689,185
1159,0.0116866,550
1160,7.79746e-06,366
1161,0.00331526,185
1162,-0.00679105,366
1163,0.0005437,366
1164,0.00180054,550
1165,0.0101212,366
1166,0.00301181,366
1167,0.00235604,550
1168,0.00126087,185
1169,0.0245543,916
1170,0.000207515,185
1171,-0.000807888,366
1172,-0.0024582,185
1173,0.00520365,550
1174,0.000218539,185
1175,0.000834809,185
1176,-0.00200689,185
1177,-0.000579329,185
1178,0.00180281,185
1179,-0.00692428,1097
1180,0.00447864,185
1181,-0.00900841,185
1182,-0.00275479,185
1183,-0.000742909,185
1184,0.003147,185
1185,-0.00189816,185
1186,0.00388043,185
1187,-0.00101954,185
1188,0.00100271,185
1189,-0.00142173,185
1190,0.000694419,185
1191,0.00132137,185
1192,-0.00400681,185
1193,0.00609415,550
1194,-0.00290643,185
1195,-0.00237595,1097
1196,0.0235434,916
1197,-0.00112372,185
1198,0.00572819,366
1199,-0.00105034,185
1200,-0.00252858,185
1201,0.00411862,366
1202,0.000324036,185
1203,0.0115037,366
1204,-0.00183423,185
1205,-0.000824703,185
1206,-0.0016636,185
1207,0.00866151,732
1208,-0.00470896,185
1209,-0.000625664,185
1210,-0.00248958,185
1211,-0.0167977,1097
1212,-0.00722198,185
1213,-0.00236429,185
1214,0.000159582,185
1215,-0.00402186,185
1216,0.0013368,366
1217,-0.00141805,366
1218,-0.000466527,185
1219,-0.00306483,185
1220,0.00499612,185
1221,-0.000392175,185
1222,-0.0138655,550
1223,-0.00144792,185
1224,-0.00627897,1097
1225,-0.000174255,185
1226,0.00266986,185
1227,-0.00188425,1097
1228,-0.00591302,185
1229,0.00165097,185
1230,0.00446473,366
1231,0.00430541,185
1232,0.00483462,185
1233,0.0114596,732
1234,-0.00226595,185
1235,-0.000600933,185
1236,-0.00108312,185
1237,0.000471402,1097
1238,0.0026246,366
1239,-0.00899935,550
1240,0.000183322,1097
1241,0.00224557,185
1242,-0.000555934,185
1243,0.000974892,366
1244,0.00152239,185
1245,-0.00234814,185
1246,-0.0133996,185
1247,0.00474583,366
1248,0.000703836,185
1249,-0.00154235,185
1250,-0.00176332,185
1251,-0.00565489,1097
1252,-0.00296366,185
1253,-0.00251419,185
1254,-0.00790026,1097
1255,0.00480252,366
1256,-0.0399577,1097
1257,0.00100723,185
1258,0.000568958,185
1259,0.00681627,185
1260,-0.00466417,185
1261,-0.00086057,185
1262,-0.0136905,1097
1263,-6.44117e-05,732
1264,0.00355819,366
1265,0.00877403,366
1266,0.000833295,185
1267,0.0240684,1097
1268,-0.00471683,366
1269,-0.00315058,1097
1270,-0.0226237,1097
1271,0.00383859,185
1272,-0.00270933,185
1273,0.000517422,916
1274,0.00472198,185
1275,-0.000473732,185
1276,-0.000503428,185
1277,-0.00119512,185
1278,-0.0031423,1097
1279,0.00698429,185
